model,bin,bin_lo,bin_hi,count,mean_predicted,observed_rate,ECE,brier
LogisticRegression + weighted,0,0.0,0.1,47207,0.023709632131011373,0.00010591649543499905,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,1,0.1,0.2,4435,0.14037683885497745,0.0013528748590755355,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,2,0.2,0.30000000000000004,1811,0.24346678303358377,0.0005521811154058532,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,3,0.30000000000000004,0.4,1022,0.3456354450263241,0.0,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,4,0.4,0.5,655,0.4478729038041976,0.0,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,5,0.5,0.6000000000000001,428,0.5463251016947916,0.0,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,6,0.6000000000000001,0.7000000000000001,332,0.649506189852267,0.0,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,7,0.7000000000000001,0.8,263,0.7512879571652861,0.011406844106463879,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,8,0.8,0.9,278,0.8491802744822002,0.0035971223021582736,0.06910499277108947,0.02374109734155623
LogisticRegression + weighted,9,0.9,1.0,315,0.9649570380268128,0.2507936507936508,0.06910499277108947,0.02374109734155623
RandomForest + weighted,0,0.0,0.1,56657,0.0002677515576186526,0.00031770125491995693,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,1,0.1,0.2,10,0.13999999999999999,0.3,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,2,0.2,0.30000000000000004,7,0.22571428571428573,0.8571428571428571,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,3,0.30000000000000004,0.4,2,0.33499999999999996,0.5,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,4,0.4,0.5,2,0.4625,0.0,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,5,0.5,0.6000000000000001,1,0.505,1.0,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,6,0.6000000000000001,0.7000000000000001,10,0.6385000000000001,1.0,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,7,0.7000000000000001,0.8,10,0.7585000000000001,1.0,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,8,0.8,0.9,18,0.8541666666666666,0.9444444444444444,0.0003443414513798329,0.0004988818595143271
RandomForest + weighted,9,0.9,1.0,29,0.9556896551724139,1.0,0.0003443414513798329,0.0004988818595143271
XGBoost + weighted,0,0.0,0.1,56651,5.73716388316825e-05,0.0003530387813101269,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,1,0.1,0.2,11,0.14464734494686127,0.18181818181818182,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,2,0.2,0.30000000000000004,3,0.24020735919475555,0.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,3,0.30000000000000004,0.4,1,0.38618767261505127,1.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,4,0.4,0.5,3,0.43502187728881836,0.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,5,0.5,0.6000000000000001,1,0.5591285228729248,1.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,6,0.6000000000000001,0.7000000000000001,3,0.6521146297454834,0.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,8,0.8,0.9,1,0.8098844289779663,0.0,0.00042118851854122425,0.00045283837243914604
XGBoost + weighted,9,0.9,1.0,72,0.9985478520393372,0.9861111111111112,0.00042118851854122425,0.00045283837243914604
LightGBM + weighted,0,0.0,0.1,56669,2.5490615915721513e-06,0.000388219308616704,0.0004550263867386434,0.00045717772387347984
LightGBM + weighted,1,0.1,0.2,2,0.1373525272212829,0.5,0.0004550263867386434,0.00045717772387347984
LightGBM + weighted,2,0.2,0.30000000000000004,1,0.22055398995770212,1.0,0.0004550263867386434,0.00045717772387347984
LightGBM + weighted,3,0.30000000000000004,0.4,2,0.3317925896528535,0.5,0.0004550263867386434,0.00045717772387347984
LightGBM + weighted,8,0.8,0.9,1,0.8742751180629973,1.0,0.0004550263867386434,0.00045717772387347984
LightGBM + weighted,9,0.9,1.0,71,0.9999788655629978,0.971830985915493,0.0004550263867386434,0.00045717772387347984
LogisticRegression + SMOTE,0,0.0,0.1,46837,0.021932933083631076,0.00019215577428101716,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,1,0.1,0.2,4440,0.14244021991515,0.00022522522522522523,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,2,0.2,0.30000000000000004,1977,0.24428152494263056,0.0010116337885685382,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,3,0.30000000000000004,0.4,1042,0.3457690098676174,0.0,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,4,0.4,0.5,631,0.4470542664036582,0.0,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,5,0.5,0.6000000000000001,497,0.545208380996865,0.0,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,6,0.6000000000000001,0.7000000000000001,376,0.6448015655739988,0.0,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,7,0.7000000000000001,0.8,245,0.7466419384359649,0.00816326530612245,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,8,0.8,0.9,289,0.855604957297692,0.0034602076124567475,0.07102285845466096,0.02602628798840779
LogisticRegression + SMOTE,9,0.9,1.0,412,0.9626640189937861,0.1941747572815534,0.07102285845466096,0.02602628798840779
RandomForest + SMOTE,0,0.0,0.1,56485,0.002332920244312649,0.00024785341241037443,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,1,0.1,0.2,145,0.13137931034482758,0.027586206896551724,0.002515595812920734,0.0006068568709688789
RandomForest + SMOTE,2,0.2,0.30000000000000004,19,0.25394736842105264,0.0,0.002515595812920734,0.0006068568709688789
