threshold,missed_frauds,false_alarms,fraud_loss_eur,review_cost_eur,total_cost_eur,is_cost_optimal,is_tuned_threshold
0.0,0,56651,0.0,169953.0,169953.0,False,False
0.005,20,9,3785.69,27.0,3812.69,False,False
0.01,20,7,3785.69,21.0,3806.69,True,False
0.015,22,6,3808.4900000000002,18.0,3826.4900000000002,False,False
0.02,22,6,3808.4900000000002,18.0,3826.4900000000002,False,False
0.025,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.03,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.035,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.04,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.045,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.05,22,5,3808.4900000000002,15.0,3823.4900000000002,False,False
0.055,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.06,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.065,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.07,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.075,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.08,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.085,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.09,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.095,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.1,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.105,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.11,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.115,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.12,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.125,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.13,22,4,3808.4900000000002,12.0,3820.4900000000002,False,False
0.135,23,4,3809.49,12.0,3821.49,False,False
0.14,23,4,3809.49,12.0,3821.49,False,False
0.145,23,3,3809.49,9.0,3818.49,False,False
0.15,23,3,3809.49,9.0,3818.49,False,False
0.155,23,3,3809.49,9.0,3818.49,False,False
0.16,23,3,3809.49,9.0,3818.49,False,False
0.165,23,3,3809.49,9.0,3818.49,False,False
0.17,23,3,3809.49,9.0,3818.49,False,False
0.175,23,3,3809.49,9.0,3818.49,False,False
0.18,23,3,3809.49,9.0,3818.49,False,False
0.185,23,3,3809.49,9.0,3818.49,False,False
0.19,23,3,3809.49,9.0,3818.49,False,False
0.195,23,3,3809.49,9.0,3818.49,False,False
0.2,23,3,3809.49,9.0,3818.49,False,False
0.205,23,3,3809.49,9.0,3818.49,False,False
0.21,23,3,3809.49,9.0,3818.49,False,False
0.215,23,3,3809.49,9.0,3818.49,False,False
0.22,23,3,3809.49,9.0,3818.49,False,False
0.225,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.23,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.235,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.24,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.245,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.25,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.255,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.26,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.265,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.27,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.275,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.28,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.285,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.29,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.295,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.3,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.305,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.31,24,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.315,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.32,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.325,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.33,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.335,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.34,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.345,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.35,25,3,3813.2799999999997,9.0,3822.2799999999997,False,False
0.355,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.36,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.365,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.37,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.375,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.38,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.385,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.39,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.395,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.4,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.405,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.41,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.415,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.42,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.425,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.43,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.435,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.44,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.445,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.45,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.455,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.46,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.465,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.47,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.475,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.48,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.485,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.49,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.495,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.5,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.505,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
0.51,25,2,3813.2799999999997,6.0,3819.2799999999997,False,False
