model,fold,PR_AUC
LightGBM + weighted,0,0.8138428467708788
LightGBM + weighted,1,0.852147654510065
LightGBM + weighted,2,0.8956484798496754
LightGBM + weighted,3,0.8585869349723387
LightGBM + weighted,4,0.8249654464029776
XGBoost + weighted,0,0.8181505920334133
XGBoost + weighted,1,0.8449185334461258
XGBoost + weighted,2,0.8912095777236315
XGBoost + weighted,3,0.8430530745785517
XGBoost + weighted,4,0.8498422415638819
RandomForest + weighted,0,0.8039407042138229
RandomForest + weighted,1,0.8476738741633532
RandomForest + weighted,2,0.8658738537509176
RandomForest + weighted,3,0.8584588555757636
RandomForest + weighted,4,0.8444669306908976
RandomForest + SMOTE,0,0.8212278104802224
RandomForest + SMOTE,1,0.8431822190251663
RandomForest + SMOTE,2,0.8694976543850974
RandomForest + SMOTE,3,0.8566028097495187
RandomForest + SMOTE,4,0.844881895149105
