statistic,value
rows_after_dedup,283726
duplicates_removed,1081
fraud_count,473
legit_count,283253
fraud_rate_pct,0.1667101358352777
imbalance_ratio,598.8435517970402
missing_values,0
n_features_modelled,29
amount_median_legit,22.0
amount_median_fraud,9.82
amount_mean_legit,88.41357475472458
amount_mean_fraud,123.87186046511628
amount_p95_legit,365.0
amount_p95_fraud,655.8199999999995
amount_max_fraud,2125.87
peak_fraud_hour,2
peak_fraud_rate_pct,1.4510278113663846
min_fraud_rate_pct,0.048344210780759005
top_feature,V17
top_feature_abs_corr,0.3134982729556793
second_feature,V14
second_feature_abs_corr,0.29337538479004244
