feature,gain,split_count,permutation_mean,permutation_std,gain_pct,model
V14,631967.5420159425,564,0.07255003862878147,0.011206932414195698,50.911672386637576,LightGBM + weighted
V4,93836.92454986522,454,0.054061659267390524,0.008328470025181197,7.559557165250502,LightGBM + weighted
V7,4440.196920135573,399,0.01398957945631657,0.0025172904404906554,0.3577048438421173,LightGBM + weighted
V28,9096.766188474025,363,0.011959029392148402,0.00271837340253726,0.7328407697776161,LightGBM + weighted
V3,23915.464045913945,450,0.01166510552711023,0.004982706142603399,1.9266436795092003,LightGBM + weighted
V26,11770.850408282899,502,0.01122413786284493,0.0045977288338892525,0.9482665482897543,LightGBM + weighted
V11,9170.90605428497,370,0.01042927479617356,0.004451450981359455,0.7388135204459739,LightGBM + weighted
V12,119819.99651084238,406,0.008716419282844824,0.005329118636174514,9.652768539771262,LightGBM + weighted
Amount,11989.343077836947,540,0.008203065699593526,0.005224106527405209,0.965868444703189,LightGBM + weighted
V27,4284.914303240007,346,0.006081998034708269,0.0021501930237500214,0.34519518599876026,LightGBM + weighted
V13,12051.935962667802,422,0.005125463668938979,0.0024388232093628757,0.9709109638744704,LightGBM + weighted
V20,9343.790006577638,270,0.004932220033079892,0.002072271437858736,0.7527411520960964,LightGBM + weighted
V19,16639.990848822286,331,0.00464444274142709,0.0015573378730218206,1.3405273313712622,LightGBM + weighted
V21,7733.135133120345,273,0.004497878628136165,0.00248170432181415,0.6229858596267717,LightGBM + weighted
V5,3443.1899339871493,334,0.004286167863566237,0.0014800406658694051,0.2773853817316772,LightGBM + weighted
V24,4358.3633222773915,422,0.004100667255548951,0.003769002844805075,0.3511122816496266,LightGBM + weighted
V15,5744.270406759525,305,0.003996342580000212,0.002635524753668247,0.4627617616504436,LightGBM + weighted
V10,106998.48461802497,366,0.0036294989982298296,0.004008417427642621,8.619860091805387,LightGBM + weighted
V1,4724.536158614655,352,0.0028184282391045647,0.0055191834001290935,0.3806113781079987,LightGBM + weighted
V22,9128.57695981941,405,0.0027352628744350847,0.0020897658336372317,0.7354034640007027,LightGBM + weighted
V8,39103.51326775319,319,0.002089320747079004,0.0032889016136877607,3.150201749766705,LightGBM + weighted
V18,8880.03830556623,371,0.001963249799641786,0.0031416414421554513,0.7153810456018248,LightGBM + weighted
V6,5140.335662751623,368,0.0016637985966546087,0.0030406167585657552,0.41410842775966206,LightGBM + weighted
V25,7136.3644246694075,345,0.0016596788736213842,0.0023246369277666245,0.5749096646030891,LightGBM + weighted
V2,9236.832897693397,245,0.0015757940653092662,0.0016363839971389458,0.7441246252574459,LightGBM + weighted
V9,2976.940285310634,337,0.0015209502936399776,0.0013051302672121776,0.23982403912208355,LightGBM + weighted
V16,9279.212891508034,331,0.0009822050055889654,0.0034489461663677052,0.7475387821838535,LightGBM + weighted
V23,1973.892355572285,251,-0.001358523778798848,0.0012974854033062637,0.15901791508597657,LightGBM + weighted
V17,57115.5637257127,260,-0.004183531061686363,0.0020743625653266142,4.601263000478987,LightGBM + weighted
