decile,share_reviewed,n_reviewed,frauds_caught,cumulative_recall,lift
1,0.1,5674,88,0.9263157894736842,9.264137432053873
2,0.2,11349,88,0.9263157894736842,4.631660568285636
3,0.3,17023,89,0.9368421052631579,3.122953774614531
4,0.4,22698,92,0.968421052631579,2.4210952970584008
5,0.5,28373,94,0.9894736842105263,1.9789473684210526
6,0.6,34047,94,0.9894736842105263,1.6491518690107947
7,0.7,39722,95,1.0,1.4285786214188612
8,0.8,45396,95,1.0,1.2500220283725438
9,0.9,51071,95,1.0,1.1111198135928413
10,1.0,56746,95,1.0,1.0
